# username|food_name|dining_location|calories|percent_fruit_veg|percent_grain|percent_dairy|percent_protein|fat_g|carbs_g|proteins_g|fiber_g|sugar_g|days_ago

# Alice – fan of sweets
Mallory|Pad Thai|20|760|20|50|0|30|6|165.8|12|4.1|40|4
Mallory|Green Chicken Curry with Jasmine Rice|20|450|10|30|0|60|27.32|27.49|27.32|5.88|10.75|4
Mallory|Beef Shawarma Combo|16|882|10|40|0|50|46|71.1|55|5.73|9|5
Mallory|Super Roots Bowl|24|625|40|40|0|20|7.739|111.71|28.037|3.475|20.152|5
Mallory|6" Steak and Bacon Sub|18|600|0|40|0|60|9.788|82.44|43.18|5.666|12.894|6
Mallory|12" Steak and Bacon Sub|18|1200|0|40|0|60|9.788|82.44|43.18|5.666|12.894|6
Mallory|Falafel Plate|16|330|20|40|0|40|17.67|31.54|13.177|0|0|7
Mallory|Fried Chicken Sandwich|12|590|0|40|0|60|9.788|82.44|43.18|5.666|12.894|8
Mallory|Rocky Road Brownie|6|260|0|70|0|30|11.27|44.18|3.32|1.45|25.3|8
Mallory|Ice Cream|8|250|0|60|20|20|10.968|36.036|4.189|1.176|33.108|9
Mallory|Pizza Pops|8|286|0|60|0|40|13.6|29.3|11.5|1.73|3.07|9
Mallory|Kimchi Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|10
Mallory|Chicken Samosa|10|310|0|50|0|50|17.5|33.2|5.14|1.8|1.28|10

# Olivia – enjoys poutine and fries
Olivia|Poutine|4|1400|0|50|40|10|43.077|56.43|21.538|0|2.69|1
Olivia|Sweet Potato Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|1
Olivia|Kimchi Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|2
Olivia|Perogies|12|350|0|70|0|30|2.059|61.765|10.294|2.1|0|2
Olivia|Poutine|4|1400|0|50|40|10|43.077|56.43|21.538|0|2.69|3
Olivia|Sweet Potato Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|3
Olivia|Perogies|12|350|0|70|0|30|2.059|61.765|10.294|2.1|0|4
Olivia|Kimchi Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|4
Olivia|Poutine|4|1400|0|50|40|10|43.077|56.43|21.538|0|2.69|5
Olivia|Sweet Potato Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|6
Olivia|Perogies|12|350|0|70|0|30|2.059|61.765|10.294|2.1|0|7
Olivia|Kimchi Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|8
Olivia|Poutine|4|1400|0|50|40|10|43.077|56.43|21.538|0|2.69|9
Olivia|Sweet Potato Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|10

# Peggy – prefers raw fish & poke
Peggy|California Roll|2|290|0|70|0|30|7.99|63.1|8.99|0|7.99|1
Peggy|Spicy Salmon Roll|2|360|0|70|0|30|7.99|63.1|8.99|0|7.99|1
Peggy|Salmon Avocado Roll|2|340|0|70|0|30|7.99|63.1|8.99|0|7.99|2
Peggy|Spicy California Crunch Roll|2|450|0|70|0|30|7.99|63.1|8.99|0|7.99|2
Peggy|Tuna Poke Bowl|2|660|10|40|0|50|18.534|67.383|45.01|0|0|3
Peggy|Tofu Poke Bowl|2|660|10|40|0|50|18.534|67.383|45.01|0|0|3
Peggy|Donburi Inari Tofu|2|580|10|30|0|60|20.2|8.86|18.8|3.9|2.72|4
Peggy|California Roll|2|290|0|70|0|30|7.99|63.1|8.99|0|7.99|5
Peggy|Spicy Salmon Roll|2|360|0|70|0|30|7.99|63.1|8.99|0|7.99|5
Peggy|Salmon Avocado Roll|2|340|0|70|0|30|7.99|63.1|8.99|0|7.99|6
Peggy|Spicy California Crunch Roll|2|450|0|70|0|30|7.99|63.1|8.99|0|7.99|6
Peggy|California Roll|2|290|0|70|0|30|7.99|63.1|8.99|0|7.99|7
Peggy|Spicy Salmon Roll|2|360|0|70|0|30|7.99|63.1|8.99|0|7.99|8
Peggy|Salmon Avocado Roll|2|340|0|70|0|30|7.99|63.1|8.99|0|7.99|9
Peggy|California Roll|2|290|0|70|0|30|7.99|63.1|8.99|0|7.99|10

# Trent – cheap
Trent|Coconut Date Bite|3|180|0|60|0|40|8|26|3|0|16|1
Trent|Ginger Cookie|3|150|0|90|0|10|4.47|25.74|1.95|0.349|6.14|1
Trent|Strawberry Cake Pop|17|160|0|90|0|10|6.37|24.18|1.46|1.28|14.96|2
Trent|Chocolate Dip Donut|22|220|0|85|0|15|7.5|24.4|1.27|0.492|14.4|2
Trent|Chicken Samosa|10|310|0|50|0|50|17.5|33.2|5.14|1.8|1.28|3
Trent|Vanilla Dip Donut|22|250|0|85|0|15|7.5|24.4|1.27|0.492|14.4|3
Trent|Ice Cream|8|250|0|60|20|20|10.968|36.036|4.189|1.176|33.108|4
Trent|Pizza Pops|8|286|0|60|0|40|13.6|29.3|11.5|1.73|3.07|4
Trent|Rocky Road Brownie|6|260|0|70|0|30|11.27|44.18|3.32|1.45|25.3|5
Trent|Coconut Date Bite|3|180|0|60|0|40|8|26|3|0|16|5
Trent|Ginger Cookie|3|150|0|90|0|10|4.47|25.74|1.95|0.349|6.14|6
Trent|Chocolate Dip Donut|22|220|0|85|0|15|7.5|24.4|1.27|0.492|14.4|7
Trent|Vanilla Dip Donut|22|250|0|85|0|15|7.5|24.4|1.27|0.492|14.4|8
Trent|Coconut Date Bite|3|180|0|60|0|40|8|26|3|0|16|9
Trent|Ginger Cookie|3|150|0|90|0|10|4.47|25.74|1.95|0.349|6.14|10

# Victor – fried-food fan
Victor|5 Piece Chicken Wings|5|280|0|0|0|100|17.16|0|29.78|0|0|1
Victor|Crispy Chicken Sandwich|5|620|0|40|0|60|9.788|82.44|43.18|5.666|12.894|1
Victor|Fried Chicken Sandwich|12|590|0|40|0|60|9.788|82.44|43.18|5.666|12.894|2
Victor|Popcorn Shrimp|10|320|0|40|0|60|19|27|11|0|9.09|2
Victor|Kimchi Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|3
Victor|Sweet Potato Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|3
Victor|Pizza Pops|8|286|0|60|0|40|13.6|29.3|11.5|1.73|3.07|4
Victor|Backed Mac & Cheese|5|422|0|50|20|30|18.1|49|15.8|3.11|4.33|4
Victor|Chicken Samosa|10|310|0|50|0|50|17.5|33.2|5.14|1.8|1.28|5
Victor|Hamburger|4|470|0|40|0|60|29.07|40.57|26.5|3.51|5.6|5
Victor|Fried Chicken Sandwich|12|590|0|40|0|60|9.788|82.44|43.18|5.666|12.894|6
Victor|Popcorn Shrimp|10|320|0|40|0|60|19|27|11|0|9.09|6
Victor|Kimchi Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|7
Victor|Sweet Potato Fries|12|380|10|50|0|40|15.2|58.27|5.067|5.117|0|7
Victor|Pizza Pops|8|286|0|60|0|40|13.6|29.3|11.5|1.73|3.07|8
Victor|Backed Mac & Cheese|5|422|0|50|20|30|18.1|49|15.8|3.11|4.33|8
Victor|Hamburger|4|470|0|40|0|60|29.07|40.57|26.5|3.51|5.6|9
Victor|5 Piece Chicken Wings|5|280|0|0|0|100|17.16|0|29.78|0|0|10
